Name,Formula,PubChem CID,InChIKey,HMDB ID,KEGG ID,# pathways,Pathways,Occurrence (lit.),Detection (lit-synth judgement),Up/Down — GAP Conv vs No GAP (fill in next step),Up/Down — GAP Org vs No GAP (fill in next step),Notes
5-Aminolevulinic acid,C5H9NO3,137,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,HMDB0001149,C00430,1,Glycine and Serine Metabolism,Other plant,undetermined (native vs. artifact),,,
Adenosine,C10H13N5O4,60961,OIRDTQYFTABQOQ-KQYNXXCUSA-N,HMDB0000050,C00212,1,Betaine Metabolism,Elderberry,native — plausibly belongs,,,
alpha-Ketoglutaric acid,C5H6O5,51,KPGXRSRHYNQIFN-UHFFFAOYSA-N,HMDB0000208,C00026,8,"Ammonia Recycling; Beta-Alanine Metabolism; Aspartate Metabolism; Valine, Leucine and Isoleucine Degradation; Phenylalanine and Tyrosine Metabolism; Malate-Aspartate Shuttle; Arginine and Proline Metabolism; Glycine and Serine Metabolism",Other plant,native — plausibly belongs,,,
Arginine,C6H14N4O2,6322,ODKSFYDXXFIFQN-BYPYZUCNSA-N,HMDB0000517,C00062,3,Aspartate Metabolism; Arginine and Proline Metabolism; Glycine and Serine Metabolism,Elderberry,native — plausibly belongs,,,
Asparagine,C4H8N2O3,6267,DCXYFEDJOCDNAF-REOHCLBHSA-N,HMDB0000168,C00152,2,Ammonia Recycling; Aspartate Metabolism,Elderberry,native — plausibly belongs,,,
Choline,C5H13NO,305,OEYIOHPDSNJKLS-UHFFFAOYSA-N,HMDB0000097,C00114,3,Methionine Metabolism; Phosphatidylethanolamine Biosynthesis; Betaine Metabolism,Other plant,native — plausibly belongs,,,
D-Pantothenic acid,C9H17NO5,6613,GHOKWGTUZJEAQD-ZETCQYMHSA-N,HMDB0000210,C00864,1,Beta-Alanine Metabolism,Elderberry,native — plausibly belongs,,,
Glutamine,C5H10N2O3,5961,ZDXPYRJPNDTMRX-VKHMYHEASA-N,HMDB0000641,C00064,3,Ammonia Recycling; Aspartate Metabolism; Amino Sugar Metabolism,Other plant,native — plausibly belongs,,,
Methionine sulfoxide (H-Met(O)-OH),C5H11NO3S,158980,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,HMDB0002005,C02989,1,Methionine Metabolism,Other plant,oxidation / processing artifact,,,
Histidine,C6H9N3O2,6274,HNDVDQJCIGZPNO-YFKPBYRVSA-N,HMDB0000177,C00135,2,Ammonia Recycling; Beta-Alanine Metabolism,Elderberry,native — plausibly belongs,,,
Isoleucine,C6H13NO2,6306,AGPKZVBTJJNPAG-WHFBIAKZSA-N,HMDB0000172,C00407,1,"Valine, Leucine and Isoleucine Degradation",Elderberry,native — plausibly belongs,,,
L-Glutamate,C5H9NO4,33032,WHUUTDBJXJRKMK-VKHMYHEASA-N,HMDB0000148,C00025,9,"Ammonia Recycling; Beta-Alanine Metabolism; Aspartate Metabolism; Valine, Leucine and Isoleucine Degradation; Phenylalanine and Tyrosine Metabolism; Malate-Aspartate Shuttle; Arginine and Proline Metabolism; Amino Sugar Metabolism; Glycine and Serine Metabolism",Elderberry,native — plausibly belongs,,,also detected as: L-Glutamic acid (CID 33032); DL-Glutamic acid (CID 611)
Leucine,C6H13NO2,6106,ROHFNLRQFUQHCH-YFKPBYRVSA-N,HMDB0000687,C00123,1,"Valine, Leucine and Isoleucine Degradation",Elderberry,native — plausibly belongs,,,
Methionine,C5H11NO2S,6137,FFEARJCKVFRZRR-BYPYZUCNSA-N,HMDB0000696,C00073,3,Methionine Metabolism; Glycine and Serine Metabolism; Betaine Metabolism,Elderberry,native — plausibly belongs,,,
Phenylalanine,C9H11NO2,6140,COLNVLDHVKWLRT-QMMMGPOBSA-N,HMDB0000159,C00079,1,Phenylalanine and Tyrosine Metabolism,Elderberry,native — plausibly belongs,,,
phosphoethanolamine,C2H8NO4P,1015,SUHOOTKUPISOBE-UHFFFAOYSA-N,HMDB0000224,C00346,1,Phosphatidylethanolamine Biosynthesis,Other plant,undetermined (native vs. artifact),,,
Proline,C5H9NO2,145742,ONIBWKKTOPOVIA-BYPYZUCNSA-N,HMDB0000162,C00148,1,Arginine and Proline Metabolism,Elderberry,native — plausibly belongs,,,
Serine,C3H7NO3,5951,MTCFGRXMJLQNBG-REOHCLBHSA-N,HMDB0000187,C00065,5,Ammonia Recycling; Methionine Metabolism; Phosphatidylethanolamine Biosynthesis; Glycine and Serine Metabolism; Homocysteine Degradation,Elderberry,native — plausibly belongs,,,
Spermidine,C7H19N3,1102,ATHGHQPFGPMSJY-UHFFFAOYSA-N,HMDB0001257,C00315,1,Methionine Metabolism,Elderberry,native — plausibly belongs,,,
Tyrosine,C9H11NO3,6057,OUYCCCASQSFEME-QMMMGPOBSA-N,HMDB0000158,C00082,1,Phenylalanine and Tyrosine Metabolism,Elderberry,native — plausibly belongs,,,
Valine,C5H11NO2,6287,KZSNJWFQEVHDMF-BYPYZUCNSA-N,HMDB0000883,C00183,1,"Valine, Leucine and Isoleucine Degradation",Elderberry,native — plausibly belongs,,,
