Pathway,Canonical set size,# detected,Members NOT detected in our 388
Ammonia Recycling,27,9,"Ammonia; Carbamoyl phosphate; Carbon dioxide; Dihydrolipoic acid (dihydrolipoamide-related reduced lipoate); Water; Phosphoric acid (inorganic phosphate); Pyruvic acid; Phosphate (inorganic phosphate ion); NAD+ (Nicotinamide adenine dinucleotide); ATP (Adenosine triphosphate); ADP (Adenosine diphosphate); AMP (Adenosine monophosphate); Lipoic acid (lipoamide-related oxidized lipoate); NADH (reduced nicotinamide adenine dinucleotide); 5,10-Methylenetetrahydrofolate; Pyrophosphate (diphosphate ion); Urocanic acid; Glycine; Tetrahydrofolic acid (5,6,7,8-tetrahydrofolate); L-Aspartic acid; S-Aminomethyldihydrolipoamide (aminomethyl-dihydrolipoamide; 8-[(aminomethyl)sulfanyl]-6-sulfanyloctanoic acid)"
Beta-Alanine Metabolism,27,6,"Beta-Alanine; 3-Aminopropanal (3-aminopropionaldehyde); Malonic acid semialdehyde (3-oxopropanoic acid); N-Carbamoyl-beta-alanine (3-ureidopropionic acid); Dihydrouracil (5,6-dihydrouracil); Uracil; Carnosine; Anserine; 3-Methyl-L-histidine; L-Aspartic acid; 1,3-Diaminopropane (1,3-propanediamine); Acetyl-CoA; Malonyl-CoA; NAD+; NADH; NADP+; NADPH; Water; Oxygen; Carbon dioxide; Ammonia; Hydrogen peroxide; Hydrogen ion (proton, H+)"
Aspartate Metabolism,32,7,L-Aspartic acid; D-Aspartic acid; N-Acetyl-L-aspartic acid; Ureidosuccinic acid (N-carbamoyl-L-aspartate); Adenylsuccinic acid (adenylosuccinate); Argininosuccinic acid; Citrulline; beta-Alanine; Malonic semialdehyde (malonate semialdehyde / 3-oxopropanoic acid); Oxalacetic acid (oxaloacetate); Fumaric acid; Acetic acid; Acetyl-CoA; Coenzyme A; Adenosine monophosphate (AMP); Adenosine triphosphate (ATP); Guanosine diphosphate (GDP); Guanosine triphosphate (GTP); Inosinic acid (IMP); Carbamoyl phosphate; Phosphate (inorganic phosphate / phosphoric acid); Pyrophosphate (diphosphate / diphosphoric acid); Ammonia; Carbon dioxide; Water; Oxygen; Hydrogen peroxide
"Valine, Leucine and Isoleucine Degradation",52,7,"4-Methyl-2-oxovaleric acid (alpha-ketoisocaproate); 3-Methyl-2-oxobutanoic acid (alpha-ketoisovalerate); alpha-Keto-beta-methylvaleric acid (3-methyl-2-oxopentanoate); Isovaleryl-CoA; Isobutyryl-CoA; 2-Methylbutyryl-CoA (alpha-methylbutyryl-CoA); 3-Methylcrotonyl-CoA (beta-methylcrotonyl-CoA); 3-Methylglutaconyl-CoA; 3-Hydroxy-3-methylglutaryl-CoA (HMG-CoA); Acetoacetic acid (acetoacetate); Acetyl-CoA; Acetoacetyl-CoA; 2-Methylacetoacetyl-CoA (alpha-methylacetoacetyl-CoA); 2-Methyl-3-hydroxybutyryl-CoA; Tiglyl-CoA (2-methylbut-2-enoyl-CoA); Methacrylyl-CoA (methylacrylyl-CoA / 2-methylprop-2-enoyl-CoA); 3-Hydroxyisobutyryl-CoA; (S)-3-Hydroxyisobutyric acid; (S)-Methylmalonic acid semialdehyde (2-methyl-3-oxopropanoate); (S)-Methylmalonyl-CoA / (S)-2-methyl-3-oxopropanoyl-CoA semialdehyde precursor (methylmalonyl-CoA, S form); (R)-Methylmalonyl-CoA; Methylmalonic acid; Propionyl-CoA (propanoyl-CoA); Propionyl-CoA (CoA-thioester representation); Succinyl-CoA; Succinic acid (succinate); L-beta-Aminoisobutyric acid (3-amino-2-methylpropanoate); S-(3-Methylbutanoyl)-dihydrolipoamide-E (isovaleryl-dihydrolipoamide); S-(2-Methylbutanoyl)-dihydrolipoamide-E; S-(2-Methylpropionyl)-dihydrolipoamide-E (isobutyryl-dihydrolipoamide); 3-Methyl-1-hydroxybutyl-ThPP (2-(3-methyl-1-hydroxybutyl)-thiamine diphosphate); 2-Methyl-1-hydroxypropyl-ThPP (2-(2-methyl-1-hydroxypropyl)-thiamine diphosphate); Dihydrolipoamide; Lipoamide; Thiamine diphosphate (thiamine pyrophosphate, TPP); NAD+ (Nadide); NADH; ATP (adenosine triphosphate); ADP (adenosine diphosphate); Phosphate (inorganic phosphate); Carbon dioxide; Bicarbonate ion (hydrogen carbonate); Water; Oxygen (O2); Hydrogen peroxide; Hydrogen ion (proton, H+); Coenzyme A (CoA-SH)"
Phenylalanine and Tyrosine Metabolism,27,6,Adenosine monophosphate; Ammonia; Acetoacetic acid; Homogentisic acid; Fumaric acid; Phenylpyruvic acid; Pyrophosphate; Calcium; Adenosine triphosphate; Magnesium; Fe2+; 4-Hydroxyphenylpyruvic acid; FAD; 4-Fumarylacetoacetic acid; Oxygen; Pyridoxal 5'-phosphate; Carbon dioxide; Maleylacetoacetic acid; Water; 4a-Hydroxytetrahydrobiopterin; Hydrogen peroxide; Iron; Tetrahydrobiopterin
Malate-Aspartate Shuttle,8,4,L-Malic acid; Oxaloacetic acid (oxaloacetate); Hydrogen ion (H+); NAD (NAD+ / nicotinamide adenine dinucleotide); NADH (reduced nicotinamide adenine dinucleotide); L-Aspartic acid (aspartate)
Arginine and Proline Metabolism,45,8,"D-Proline; L-Ornithine; L-Citrulline; L-Aspartic acid; Argininosuccinic acid; Creatine; Phosphocreatine; Guanidoacetic acid (guanidinoacetate); Urea; Glycine; Fumaric acid; Succinic acid; Oxaloacetic acid; Carbamoyl phosphate; N-omega-Hydroxy-L-arginine (N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine); L-Glutamic-gamma-semialdehyde (L-glutamate 5-semialdehyde); L-4-Hydroxyglutamate semialdehyde (erythro-4-hydroxy-L-glutamate semialdehyde); 4-Hydroxy-L-glutamic acid (erythro-4-hydroxy-L-glutamate); 4-Hydroxy-2-oxoglutaric acid (4-hydroxy-2-ketoglutarate); 1-Pyrroline-5-carboxylic acid; 1-Pyrroline-2-carboxylic acid; 1-Pyrroline-4-hydroxy-2-carboxylate (4-hydroxy-1-pyrroline-2-carboxylate); Pyrroline hydroxycarboxylic acid (3-hydroxy-1-pyrroline-5-carboxylate); Adenosine triphosphate (ATP); ADP (adenosine diphosphate); AMP (adenosine monophosphate); NAD+ (nicotinamide adenine dinucleotide, oxidized); NADH (nicotinamide adenine dinucleotide, reduced); NADP+ (nicotinamide adenine dinucleotide phosphate, oxidized); NADPH (nicotinamide adenine dinucleotide phosphate, reduced); FAD (flavin adenine dinucleotide); Flavin Mononucleotide (FMN); S-Adenosylmethionine (SAM); S-Adenosylhomocysteine (SAH); Pyridoxal 5'-phosphate (PLP); Sapropterin (tetrahydrobiopterin, BH4); Pyrophosphate (diphosphate); Heme (Fe-protoporphyrin IX); Water; Hydrogen peroxide"
Amino Sugar Metabolism,31,5,"Acetic acid; Ammonia; Water; Phosphoenolpyruvate; Pyruvic acid; Phosphate; ATP (Adenosine triphosphate); ADP (Adenosine diphosphate); Uridine diphosphate (UDP); Uridine 5'-triphosphate (UTP); Cytidine 5'-triphosphate (CTP); Acetyl-CoA (PathBank variant CID 6816); Fructose 6-phosphate; D-Glucosamine; Glucosamine 6-phosphate; beta-D-Fructose; N-Acetyl-D-glucosamine 1-phosphate; N-Acetyl-D-mannosamine 6-phosphate; N-Acetyl-D-glucosamine 6-phosphate; Acetyl-CoA; N-Acetyl-beta-neuraminic acid (Neu5Ac, beta anomer); UDP-N-acetyl-D-glucosamine (UDP-GlcNAc); CMP-N-acetylneuraminic acid (CMP-Neu5Ac); Pyrophosphate (Diphosphate, PPi); N-Acetyl-D-mannosamine (beta anomer); N,N'-Diacetylchitobiose-related N-acetylglucosamine oligomer (chitobiose trisaccharide derivative); N-Acetylglucosamine carbamate / chitobiose carbamic-acid derivative; N-Acetylneuraminate 9-phosphate (Neu5Ac 9-phosphate)"
Methionine Metabolism,35,5,"S-Adenosylmethionine; S-Adenosylhomocysteine; Homocysteine; L-Cysteine; L-Cystathionine; L-Homoserine; Glycine; Sarcosine; Dimethylglycine; Betaine; Adenosine monophosphate; Adenosine triphosphate; 2-Ketobutyric acid; 2-Oxo-4-methylthiobutanoic acid; 5'-Methylthioadenosine; 5-Methylthioribose 1-phosphate; S-Adenosylmethioninamine; Putrescine; 5-Methyltetrahydrofolic acid; 5,10-Methylenetetrahydrofolic acid; Tetrahydrofolic acid; NAD; NADH; Phosphate; Pyrophosphate; Ammonia; Carbon dioxide; Oxygen; Hydrogen peroxide; Water"
Phosphatidylethanolamine Biosynthesis,12,4,Cytidine triphosphate; Ethanolamine; Pyrophosphate; Adenosine triphosphate; ADP; CDP-ethanolamine; Carbon dioxide; Hydrogen Ion
Glycine and Serine Metabolism,53,8,"Glycine; alpha-Glycine (crystalline polymorph as listed in PathBank participant); D-Serine; Sarcosine; N,N-Dimethylglycine; Betaine; Creatine; Guanidinoacetic acid; L-Alanine; L-Cysteine; L-Homocysteine; L-Cystathionine; S-Adenosylmethionine; S-Adenosylhomocysteine; 3-Phosphoglyceric acid (3-Phospho-D-glycerate); Phosphohydroxypyruvic acid (3-Phosphonooxypyruvate); O-Phospho-L-serine; Hydroxypyruvic acid; D-Glyceric acid; Glyoxylic acid; Pyruvic acid; Methylglyoxal; Aminoacetone; 2-Amino-3-oxobutanoic acid (2-Amino-3-ketobutyric acid); 2-Oxobutanoic acid (alpha-Ketobutyric acid); Lipoic acid; Dihydrolipoic acid; S-Aminomethyldihydrolipoamide / lipoyl-aminomethyl thioester intermediate (8-[(aminomethyl)sulfanyl]-6-sulfanyloctanoic acid); Tetrahydrofolic acid (THF); 5,10-Methylenetetrahydrofolate; Coenzyme A; Dephospho-CoA; Acetyl-CoA; NAD+; NADH; ATP; ADP; AMP (Adenosine monophosphate); Orotidine 5'-monophosphate (as listed in PathBank participant set); Pyrophosphate (Diphosphate); Phosphate (Orthophosphate); Water; Oxygen; Hydrogen peroxide; Carbon dioxide; Ammonia; Formaldehyde"
Betaine Metabolism,18,3,"Betaine; Betaine aldehyde; N,N-Dimethylglycine; Water; Phosphate; Coenzyme Q1 (ubiquinone-1); NAD; ATP; NADH; 5-Methyltetrahydrofolic acid; Pyrophosphate; Tetrahydrofolic acid; S-Adenosylmethionine; S-Adenosylhomocysteine; L-Homocysteine"
Homocysteine Degradation,9,1,2-Ketobutyric acid; Ammonia; L-Cystathionine; L-Cysteine; Homocysteine; Hydrogen; Pyridoxal 5'-phosphate; Water
